Date,Time,StationCode,WeatherCode,Tide,WY,WaterTemperature,Secchi,Conductivity,SpCnd,pH,DO,Turbidity,MicrocystisVisualRank,ConditionCode,FieldComments,LabComments,MeshSize,FlowMeterSpeed,SetTime,FlowMeterStart,FlowMeterEnd,Flowdiff,Flowdiff_ed,VolMeso,SubMeso,VolMicro,SubMicro,Subsample,PropSubsampled,VolNet,VolNet_ed,OrganismID,TaxonName,TaxonRank,LifeStage,Count,CPUE,CPUE_ed,Flag_PQC,Comment_PQC,Flag_QC1,Comment_QC1,Flag_QC2,Comment_QC2,Flag_QC3,Comment_QC3
1999-03-04,07:40:00,SHR,CLR,NA,1999,10.5,NA,NA,NA,NA,NA,NA,NA,1,SHRZ 001,NA,150_micron,Regular,10,53377,65990,12613,12613,100,1,100,1,5,0.05,66.553,66.553,35,Bosmina longirostris,Species,NA,12,3.606,3.606,1,NA,3,FMHIGH,1,NA,1,NA
1999-03-04,07:40:00,SHR,CLR,NA,1999,10.5,NA,NA,NA,NA,NA,NA,NA,1,SHRZ 001,NA,150_micron,Regular,10,53377,65990,12613,12613,100,1,100,1,5,0.05,66.553,66.553,65,Chironomidae,Family,larva,1,0.301,0.301,1,NA,3,FMHIGH,1,NA,1,NA
1999-03-04,07:40:00,SHR,CLR,NA,1999,10.5,NA,NA,NA,NA,NA,NA,NA,1,SHRZ 001,NA,150_micron,Regular,10,53377,65990,12613,12613,100,1,100,1,5,0.05,66.553,66.553,69,Cladocera,Suborder,NA,7,2.104,2.104,1,NA,3,FMHIGH,1,NA,1,NA
1999-03-04,07:40:00,SHR,CLR,NA,1999,10.5,NA,NA,NA,NA,NA,NA,NA,1,SHRZ 001,NA,150_micron,Regular,10,53377,65990,12613,12613,100,1,100,1,5,0.05,66.553,66.553,3,Copepoda,Subclass,nauplius,1,0.301,0.301,1,NA,3,FMHIGH,1,NA,1,NA
1999-03-04,07:40:00,SHR,CLR,NA,1999,10.5,NA,NA,NA,NA,NA,NA,NA,1,SHRZ 001,NA,150_micron,Regular,10,53377,65990,12613,12613,100,1,100,1,5,0.05,66.553,66.553,70,Cyclopoida,Order,NA,3,0.902,0.902,1,NA,3,FMHIGH,1,NA,1,NA
1999-03-04,07:40:00,SHR,CLR,NA,1999,10.5,NA,NA,NA,NA,NA,NA,NA,1,SHRZ 001,NA,150_micron,Regular,10,53377,65990,12613,12613,100,1,100,1,5,0.05,66.553,66.553,8,Cyclopoida,Order,copepodid,21,6.311,6.311,1,NA,3,FMHIGH,1,NA,1,NA
1999-03-04,07:40:00,SHR,CLR,NA,1999,10.5,NA,NA,NA,NA,NA,NA,NA,1,SHRZ 001,NA,150_micron,Regular,10,53377,65990,12613,12613,100,1,100,1,5,0.05,66.553,66.553,37,Daphnia sp.,Genus,NA,4,1.202,1.202,1,NA,3,FMHIGH,1,NA,1,NA
1999-03-04,07:40:00,SHR,CLR,NA,1999,10.5,NA,NA,NA,NA,NA,NA,NA,1,SHRZ 001,NA,150_micron,Regular,10,53377,65990,12613,12613,100,1,100,1,5,0.05,66.553,66.553,41,Diaphanosoma sp.,Genus,NA,1,0.301,0.301,1,NA,3,FMHIGH,1,NA,1,NA
1999-03-04,07:40:00,SHR,CLR,NA,1999,10.5,NA,NA,NA,NA,NA,NA,NA,1,SHRZ 001,NA,150_micron,Regular,10,53377,65990,12613,12613,100,1,100,1,5,0.05,66.553,66.553,1,Rotifera,Phylum,NA,44,13.223,13.223,1,NA,3,FMHIGH,1,NA,1,NA
1999-03-04,10:00:00,STTD,CLR,NA,1999,11.7,0.19,NA,NA,NA,NA,NA,NA,NA,STTDZ 001,NA,150_micron,Regular,10,65995,86336,20341,6432,50,1,50,1,3,0.06,107.329,33.938,63,Acanthocyclops vernalis,Species,NA,1,0.155,0.491,1,NA,7,FMHIGH,1,NA,7,FMCHANGE
1999-03-04,10:00:00,STTD,CLR,NA,1999,11.7,0.19,NA,NA,NA,NA,NA,NA,NA,STTDZ 001,NA,150_micron,Regular,10,65995,86336,20341,6432,50,1,50,1,3,0.06,107.329,33.938,35,Bosmina longirostris,Species,NA,15,2.329,7.366,1,NA,7,FMHIGH,1,NA,7,FMCHANGE
1999-03-04,10:00:00,STTD,CLR,NA,1999,11.7,0.19,NA,NA,NA,NA,NA,NA,NA,STTDZ 001,NA,150_micron,Regular,10,65995,86336,20341,6432,50,1,50,1,3,0.06,107.329,33.938,69,Cladocera,Suborder,NA,41,6.367,20.134,1,NA,7,FMHIGH,1,NA,7,FMCHANGE
1999-03-04,10:00:00,STTD,CLR,NA,1999,11.7,0.19,NA,NA,NA,NA,NA,NA,NA,STTDZ 001,NA,150_micron,Regular,10,65995,86336,20341,6432,50,1,50,1,3,0.06,107.329,33.938,8,Cyclopoida,Order,copepodid,27,4.193,13.259,1,NA,7,FMHIGH,1,NA,7,FMCHANGE
1999-03-04,10:00:00,STTD,CLR,NA,1999,11.7,0.19,NA,NA,NA,NA,NA,NA,NA,STTDZ 001,NA,150_micron,Regular,10,65995,86336,20341,6432,50,1,50,1,3,0.06,107.329,33.938,70,Cyclopoida,Order,NA,3,0.466,1.473,1,NA,7,FMHIGH,1,NA,7,FMCHANGE
1999-03-04,10:00:00,STTD,CLR,NA,1999,11.7,0.19,NA,NA,NA,NA,NA,NA,NA,STTDZ 001,NA,150_micron,Regular,10,65995,86336,20341,6432,50,1,50,1,3,0.06,107.329,33.938,37,Daphnia sp.,Genus,NA,6,0.932,2.947,1,NA,7,FMHIGH,1,NA,7,FMCHANGE
1999-03-04,10:00:00,STTD,CLR,NA,1999,11.7,0.19,NA,NA,NA,NA,NA,NA,NA,STTDZ 001,NA,150_micron,Regular,10,65995,86336,20341,6432,50,1,50,1,3,0.06,107.329,33.938,1,Rotifera,Phylum,NA,22,3.416,10.804,1,NA,7,FMHIGH,1,NA,7,FMCHANGE
1999-03-09,07:45:00,SHR,CLR,NA,1999,8.9,0.47,NA,NA,NA,NA,NA,NA,1,SHRZ 002,lots of sand,150_micron,Regular,10,160056,170551,10495,10495,125,1,125,1,5,0.04,55.377,55.377,63,Acanthocyclops vernalis,Species,NA,1,0.451,0.451,1,NA,3,FMHIGH,1,NA,1,NA
1999-03-09,07:45:00,SHR,CLR,NA,1999,8.9,0.47,NA,NA,NA,NA,NA,NA,1,SHRZ 002,lots of sand,150_micron,Regular,10,160056,170551,10495,10495,125,1,125,1,5,0.04,55.377,55.377,60,Annelida,Phylum,NA,2,0.903,0.903,1,NA,3,FMHIGH,1,NA,1,NA
1999-03-09,07:45:00,SHR,CLR,NA,1999,8.9,0.47,NA,NA,NA,NA,NA,NA,1,SHRZ 002,lots of sand,150_micron,Regular,10,160056,170551,10495,10495,125,1,125,1,5,0.04,55.377,55.377,35,Bosmina longirostris,Species,NA,19,8.578,8.578,1,NA,3,FMHIGH,1,NA,1,NA
